domain	num_concepts	pearson_avg	wordnet_avg	encyclopaedic	function	smell	sound	tactile	taste	taxonomic	visual-colour	visual-form_and_surface	visual-motion
animals	103	0.48861263799028143	0.6701050360097087	0.1694447849001103	0.05539894594925849	0.0006741022184091188	0.02984434366956735	0.020958450790538055	0.00030641009927687217	0.19389631082240472	0.07194509131020958	0.3113126608653021	0.1462188993749234
biology	101	0.4774681554678117	0.6656612572376237	0.17051298131192777	0.07086416656214725	0.0012542330364981814	0.021071115013169446	0.02301517621974163	0.01417283331242945	0.1922739244951712	0.09488272921108742	0.295873573309921	0.11607926752790669
buildings	34	0.3233838542578383	0.20942854623529408	0.16162508279973503	0.2751159196290572	0.002870390814749393	0.003753587988518437	0.0412894678737028	0.00883197173769044	0.08279973504084787	0.028483108854051666	0.3868403621108412	0.008390373150805918
chemistry	38	0.5044896059578079	0.4676844908421054	0.2014388489208633	0.17739954377961045	0.011756448499736796	0.0019301631865239516	0.04070889629759607	0.053518161080891385	0.1519564835936129	0.13335672925074574	0.20319354272679419	0.024741182663625197
entomology	13	0.40590726435469227	0.16533382169230768	0.2210357714895889	0.032568072610784836	0.0	0.010678056593699947	0.015483182060864922	0.01014415376401495	0.14895888948211425	0.12333155365723439	0.2765616657768286	0.1612386545648692
fashion	35	0.5020378261854571	0.7172502330857147	0.15960048919690176	0.25642070933550754	0.0018344883815735833	0.0	0.06013045250713412	0.0	0.11557276803913576	0.06685690990623726	0.33041174072564206	0.009172441907867916
food	13	0.5215894474477692	0.22938322961538465	0.2037967615857063	0.17587939698492464	0.011725293132328308	0.0	0.04522613065326633	0.04522613065326633	0.1373534338358459	0.08319374651032943	0.24120603015075376	0.056393076493579004
furniture	21	0.28508949978057135	0.16560846566666668	0.18666666666666668	0.32868217054263565	0.0	0.010852713178294573	0.0675968992248062	0.0	0.042480620155038756	0.013023255813953489	0.35069767441860467	0.0
gastronomy	38	0.4643134762758421	0.5181230872368422	0.17318915207689667	0.22880192241675248	0.0027463096464126332	0.006179196704428424	0.03432887058015791	0.042396155166495024	0.13920357020254034	0.1266735324407827	0.23961551664950223	0.006865774116031583
geology	4	0.17059490869845	0.1875	0.100990099009901	0.2099009900990099	0.0	0.0	0.2079207920792079	0.0	0.13267326732673268	0.13465346534653466	0.18415841584158416	0.0297029702970297
