domain	num_concepts	pearson_avg	wordnet_avg	encyclopaedic	function	smell	sound	tactile	taste	taxonomic	visual-colour	visual-form_and_surface	visual-motion
history	3	0.13221543551596668	0.294117647	0.14035087719298245	0.39849624060150374	0.0	0.0	0.042606516290726815	0.0	0.03759398496240601	0.012531328320802004	0.3684210526315789	0.0
home	7	0.33208678022085714	0.10597572357142858	0.1905982905982906	0.32222222222222224	0.0	0.004273504273504274	0.0829059829059829	0.0	0.0452991452991453	0.03247863247863248	0.32222222222222224	0.0
industry	4	0.399343198231	0.4270833335	0.0805921052631579	0.3782894736842105	0.0	0.027960526315789474	0.0	0.0	0.14967105263157895	0.0	0.36348684210526316	0.0
jewellery	4	0.201767494869675	0.71875	0.2198581560283688	0.1950354609929078	0.0	0.0	0.047872340425531915	0.0	0.10106382978723404	0.10283687943262411	0.3333333333333333	0.0
mechanics	7	0.2989457048796857	0.2532372597142857	0.20760233918128654	0.23684210526315788	0.0	0.005847953216374269	0.0847953216374269	0.0	0.06237816764132553	0.010721247563352826	0.3830409356725146	0.008771929824561403
metrology	3	0.22434114548466666	0.041666666666666664	0.17066666666666666	0.248	0.0	0.034666666666666665	0.0	0.0	0.13333333333333333	0.0	0.41333333333333333	0.0
military	27	0.361644835361963	0.43922286511111114	0.1592485549132948	0.3020231213872832	0.0	0.05953757225433526	0.04335260115606936	0.0	0.1283236994219653	0.028034682080924855	0.24797687861271675	0.0315028901734104
music	20	0.59008940687525	0.85	0.08180300500834725	0.19198664440734559	0.0	0.1335559265442404	0.002921535893155259	0.0	0.18864774624373956	0.04006677796327212	0.34307178631051755	0.017946577629382305
n/a	65	0.23455896192753695	0.15086151509230772	0.15456497032453592	0.3129182977648693	0.0053036999621164285	0.017047607021088523	0.025255714105316327	0.003156964263164541	0.07538830660436924	0.027907564086374542	0.36153554741760324	0.01692132845056194
nautical	9	0.32785608506499997	0.5753736193333333	0.2898062342038753	0.2535804549283909	0.0	0.0	0.02274641954507161	0.0	0.04886267902274642	0.0	0.32771693344566133	0.05728727885425442
person	7	0.4688689687402858	0.7020475598571428	0.20666013712047013	0.10969637610186092	0.02742409402546523	0.0068560235063663075	0.0	0.00881488736532811	0.14593535749265427	0.0969637610186092	0.33594515181194906	0.061704211557296766
plants	55	0.5044081302368781	0.6310674310909088	0.165793002560039	0.1687187614287456	0.007192490552236986	0.0	0.049737900768011704	0.06899914665366329	0.16774350847251004	0.15738144581250763	0.21272705107887357	0.0017066926734121662
play	6	0.20933820758	0.173611111	0.13285714285714287	0.47	0.0	0.0	0.007142857142857143	0.0	0.09285714285714286	0.03	0.26	0.007142857142857143
publishing	5	0.2194101261066	0.3444444444	0.21678321678321677	0.16363636363636364	0.0	0.01818181818181818	0.016783216783216783	0.0	0.019580419580419582	0.046153846153846156	0.5188811188811189	0.0
religion	4	0.37375283086425004	0.1054545455	0.31299212598425197	0.21850393700787402	0.0	0.011811023622047244	0.0	0.0	0.1220472440944882	0.04330708661417323	0.2204724409448819	0.07086614173228346
sport	3	0.17544095901766665	0.236111111	0.13544668587896252	0.3170028818443804	0.0	0.0	0.01440922190201729	0.0	0.0	0.07492795389048991	0.4207492795389049	0.037463976945244955
tourism	13	0.29585071805307694	0.3547908232307692	0.2742671009771987	0.21758957654723127	0.0	0.009120521172638436	0.003257328990228013	0.0	0.0742671009771987	0.020195439739413682	0.35700325732899024	0.04429967426710098
town_planning	11	0.3641316442262727	0.24191387554545454	0.22270426608821403	0.24078091106290672	0.0	0.004338394793926247	0.004338394793926247	0.0	0.07519884309472162	0.022415039768618944	0.39913232104121477	0.03109182935647144
transport	30	0.33420938738996	0.5839856049666668	0.1956521739130435	0.24814986123959296	0.0	0.02197039777983349	0.008325624421831638	0.0	0.0545790934320074	0.04093432007400555	0.36378353376503236	0.0666049953746531
