Concept	correlation
turtle	-0.237507138105
cake	-0.215752804919
screw	-0.190164819892
cup	-0.169786859967
scallop	-0.139118325189
spade	-0.138519061925
kite	-0.13210832005
bowl	-0.113234602285
basin	-0.0982873489294
donkey	-0.0800010552305
arrow	-0.0785336156653
thimble	-0.0671457074796
lipstick	-0.0564161470777
dice	-0.0539878948522
caravan	-0.0500155618581
bell	-0.0473063998491
fork	-0.0429239106946
jar	-0.04144193212
brush	-0.041068125366
hair	-0.0410676217395
ruler	-0.036973711901
rose	-0.0361611157837
turkey	-0.0361402219088
comb	-0.0319216139939
spoon	-0.0304574174593
belt	-0.0300657985814
rock	-0.0299610929797
castle	-0.0298525513412
emu	-0.0278265446532
lettuce	-0.0270002530925
cricket	-0.026736168291
kettle	-0.026240687153
ladle	-0.0239761582982
plate	-0.0196207439409
glue	-0.0193718048346
boomerang	-0.0165609681589
badge	-0.0113062003111
toaster	-0.00949191981538
armour	-0.00471018563887
rake	-0.00387909436028
rattle	-0.00191707797698
puppet	-0.000625066506819
motorcycle	0.0
moped	0.0
mug	0.00143142953984
needle	0.00798364902788
cape	0.00919226395085
newspaper	0.0102005949169
cod	0.0105150431182
key	0.010965648352
shoes	0.0130253171123
tyre	0.0159493300854
stone	0.0163708663544
brick	0.0191987498555
leopard	0.020560376576
whip	0.0212481107206
bouquet	0.0223100319106
peeler	0.0234577486004
plough	0.0251049289848
moss	0.0275092626463
van	0.0306899161964
barrel	0.0308540867458
bolts	0.0337424113759
gherkin	0.0356458073787
shrimp	0.0390476140534
pyramid	0.0410107962004
doll	0.0421719738148
bath	0.042379497418
microwave	0.0441105475847
swing	0.0472610729333
perfume	0.0480955742287
sink	0.0485214770133
doughnut	0.0490643567593
rollerskate	0.0518348097065
alligator	0.0557695446452
watch	0.057148712318
coin	0.0580027998072
bottle	0.0599970018773
hutch	0.0600393149747
whistle	0.0611447926365
tiger	0.0696568350368
oven	0.0754381644162
chain	0.0772769707256
oyster	0.0797171951409
saw	0.0810879536605
seaweed	0.0821999595171
cradle	0.0833882347247
marble	0.0850830995945
menu	0.0893691557894
lamb	0.0899114239568
basket	0.0913971790047
thermometer	0.0916071703528
yoyo	0.0921447789572
raccoon	0.0926286401552
deckchair	0.0928454126812
heart	0.0933377156254
bikini	0.0937665800011
seashell	0.094478915722
table	0.0973557547351
mushroom	0.0981848557248
football	0.0989792329249
