

Grouping by br_label:
                    group	mu	n	med		min	mean	max
====================================================================================================
                    smell	14.00	  1	0.30769		0.30769	0.30769	0.30769
            visual-colour	23.69	 16	0.42262		0.07692	0.46722	0.93333
  visual-form_and_surface	17.63	 90	0.54724		0.08511	0.57770	1.00000
                 function	10.46	 50	0.56000		0.05952	0.57073	1.00000
            encyclopaedic	10.24	 46	0.58199		0.14493	0.56925	1.00000
                  tactile	15.83	 12	0.60463		0.44444	0.68826	1.00000
            visual-motion	14.79	 14	0.63785		0.13699	0.58458	1.00000
                    taste	21.67	  3	0.64706		0.50000	0.71569	1.00000
                    sound	12.33	  6	0.71991		0.30000	0.66444	1.00000
                taxonomic	17.07	 29	1.00000		0.05495	0.79720	1.00000


Grouping by first_word:
                    group	mu	n	med		min	mean	max
====================================================================================================
                    found	12.60	  5	0.28571		0.20690	0.50237	1.00000
                    eaten	7.86	  7	0.42857		0.21277	0.54306	1.00000
                     worn	8.25	  8	0.48571		0.18868	0.48124	1.00000
                different	35.00	  2	0.50787		0.29091	0.50787	0.72483
                     made	19.63	 19	0.51429		0.18750	0.53875	1.00000
                       is	21.31	 61	0.52000		0.07692	0.52700	1.00000
                      has	12.76	 58	0.54545		0.08511	0.59371	1.00000
                     used	8.80	 35	0.56000		0.05952	0.58539	1.00000
                      beh	13.17	 18	0.62253		0.13699	0.55497	1.00000
                   tastes	21.67	  3	0.64706		0.50000	0.71569	1.00000
                    lives	10.70	 10	0.65476		0.21818	0.66584	1.00000
                   hunted	27.00	  1	0.65854		0.65854	0.65854	0.65854
                    inbeh	7.75	  4	0.77917		0.37838	0.73418	1.00000
                        a	13.88	 24	0.90000		0.05495	0.75495	1.00000
                 requires	5.50	  2	0.92857		0.85714	0.92857	1.00000
                    grows	12.50	  4	0.95455		0.43243	0.83538	1.00000
                       an	39.67	  3	1.00000		1.00000	1.00000	1.00000
                    comes	7.00	  1	1.00000		1.00000	1.00000	1.00000
                 clothing	32.00	  1	1.00000		1.00000	1.00000	1.00000
                furniture	11.00	  1	1.00000		1.00000	1.00000	1.00000
