

Grouping by br_label:
                    group	mu	n	med		min	mean	max
====================================================================================================
                    smell	14.00	  1	0.45902		0.45902	0.45902	0.45902
            encyclopaedic	10.05	 41	0.50000		0.15000	0.60969	1.00000
            visual-colour	23.69	 16	0.51647		0.05634	0.47494	0.87805
                  tactile	15.83	 12	0.57085		0.30137	0.64082	1.00000
            visual-motion	19.50	  2	0.61003		0.38889	0.61003	0.83117
  visual-form_and_surface	17.63	 90	0.61034		0.08621	0.64292	1.00000
                    taste	21.67	  3	0.69565		0.66000	0.78522	1.00000
                 function	10.99	 72	0.69618		0.08333	0.66628	1.00000
                    sound	33.00	  1	0.78571		0.78571	0.78571	0.78571
                taxonomic	17.07	 29	1.00000		0.11236	0.87354	1.00000


Grouping by first_word:
                    group	mu	n	med		min	mean	max
====================================================================================================
                    eaten	7.86	  7	0.38462		0.27907	0.49582	1.00000
                    found	12.60	  5	0.46154		0.33333	0.58024	1.00000
                       is	21.31	 61	0.50000		0.05634	0.55440	1.00000
                   hunted	27.00	  1	0.52427		0.52427	0.52427	0.52427
                      has	12.76	 58	0.56571		0.08621	0.62525	1.00000
                     worn	8.25	  8	0.56731		0.30303	0.64236	1.00000
                different	35.00	  2	0.64415		0.41026	0.64415	0.87805
                   tastes	21.67	  3	0.69565		0.66000	0.78522	1.00000
                     used	8.80	 35	0.70588		0.12048	0.71014	1.00000
                     made	19.63	 19	0.72222		0.16092	0.67927	1.00000
                      beh	13.17	 18	0.72944		0.08333	0.61730	1.00000
                    lives	10.70	 10	0.78509		0.24000	0.69766	1.00000
                 requires	5.50	  2	0.85714		0.71429	0.85714	1.00000
                    inbeh	7.75	  4	0.91176		0.43750	0.81526	1.00000
                    grows	12.50	  4	1.00000		0.35556	0.83889	1.00000
                       an	39.67	  3	1.00000		1.00000	1.00000	1.00000
                    comes	7.00	  1	1.00000		1.00000	1.00000	1.00000
                 clothing	32.00	  1	1.00000		1.00000	1.00000	1.00000
                furniture	11.00	  1	1.00000		1.00000	1.00000	1.00000
                        a	13.88	 24	1.00000		0.11236	0.84719	1.00000
