

Grouping by br_label:
                    group	mu	n	med		min	mean	max
====================================================================================================
                  tactile	15.83	 12	1.00000		1.00000	1.00000	1.00000
                taxonomic	17.07	 29	1.00000		0.92308	0.99735	1.00000
  visual-form_and_surface	17.63	 90	1.00000		1.00000	1.00000	1.00000
            visual-motion	14.79	 14	1.00000		0.58824	0.97059	1.00000
                    smell	14.00	  1	1.00000		1.00000	1.00000	1.00000
                    sound	12.33	  6	1.00000		1.00000	1.00000	1.00000
            visual-colour	23.69	 16	1.00000		1.00000	1.00000	1.00000
            encyclopaedic	10.24	 46	1.00000		1.00000	1.00000	1.00000
                 function	10.46	 50	1.00000		1.00000	1.00000	1.00000
                    taste	21.67	  3	1.00000		1.00000	1.00000	1.00000


Grouping by first_word:
                    group	mu	n	med		min	mean	max
====================================================================================================
                      beh	13.17	 18	1.00000		0.58824	0.97712	1.00000
                     made	19.63	 19	1.00000		1.00000	1.00000	1.00000
                       an	39.67	  3	1.00000		1.00000	1.00000	1.00000
                 clothing	32.00	  1	1.00000		1.00000	1.00000	1.00000
                 requires	5.50	  2	1.00000		1.00000	1.00000	1.00000
                   hunted	27.00	  1	1.00000		1.00000	1.00000	1.00000
                      has	12.76	 58	1.00000		1.00000	1.00000	1.00000
                    found	12.60	  5	1.00000		1.00000	1.00000	1.00000
                     worn	8.25	  8	1.00000		1.00000	1.00000	1.00000
                    comes	7.00	  1	1.00000		1.00000	1.00000	1.00000
                     used	8.80	 35	1.00000		1.00000	1.00000	1.00000
                    grows	12.50	  4	1.00000		1.00000	1.00000	1.00000
                    eaten	7.86	  7	1.00000		1.00000	1.00000	1.00000
                furniture	11.00	  1	1.00000		1.00000	1.00000	1.00000
                       is	21.31	 61	1.00000		1.00000	1.00000	1.00000
                   tastes	21.67	  3	1.00000		1.00000	1.00000	1.00000
                    lives	10.70	 10	1.00000		1.00000	1.00000	1.00000
                        a	13.88	 24	1.00000		0.92308	0.99679	1.00000
                    inbeh	7.75	  4	1.00000		1.00000	1.00000	1.00000
                different	35.00	  2	1.00000		1.00000	1.00000	1.00000
