has_types	0.02824
	0.34472	sandals
	0.33965	chariots
	0.33829	chariot
	0.33826	manna
	0.33786	hath
	0.33268	unto
	0.32880	worshipped
	0.32815	worshiped
	0.32699	dung
	0.32625	trod
	0.32583	sinned
	0.32190	hoofed
	0.32089	messengers
	0.31552	doves
	0.31460	ark
	0.31299	beasts
	0.31279	fowls
	0.31143	dwelt
	0.30684	sandal
	0.30653	prophesied
	0.30594	camel
	0.30355	ostriches
	0.30328	lambs
	0.30116	loosed
	0.30090	sheep
	0.30087	shalt
	0.30003	gazelles
	0.29906	horsemen
	0.29862	horned
	0.29785	tramples
	0.29599	gored
	0.29558	shod
	0.29505	trample
	0.29412	flocks
	0.29387	encamped
	0.29383	thou
	0.29371	shepherds
is_triangular	0.05911
	0.41486	pyramid
	0.38868	trowel
	0.37334	triangular
	0.36699	boomerang
	0.32452	shawl
	0.30215	slanted
	0.30187	slanting
	0.29732	circular
	0.29673	concave
	0.29300	ribbing
	0.29272	triangulation
	0.29037	pyramids
	0.28863	triangle
	0.28332	triangles
	0.28008	cheekbone
	0.27501	seam
	0.27462	sloped
	0.27422	curved
	0.27256	masonry
	0.27226	curvature
	0.27168	overhand
	0.27090	minaret
	0.26913	angled
	0.26764	seaming
	0.26422	chisel
	0.26281	symmetrical
	0.26233	cheekbones
	0.26214	squared
	0.26083	obelisk
	0.26083	rectangle
	0.26082	overhang
	0.25619	asymmetrical
	0.25584	tapering
	0.25366	sloping
	0.25333	rectangular
	0.25269	facade
	0.25189	lapels
	0.25101	rectangles
	0.25056	hairline
	0.24902	neckline
	0.24900	tapers
	0.24803	tilted
	0.24764	cone
	0.24757	zigzag
	0.24725	curving
	0.24463	inverted
	0.24214	yarmulke
	0.23796	dimple
	0.23761	squaring
	0.23714	upturned
made_of_flesh_and_bones	0.06383
	0.37611	hamster
	0.36510	hamsters
	0.35122	gimpy
	0.32403	primate
	0.32377	giraffe
	0.32287	baboon
	0.31951	chimp
	0.31945	hammy
	0.31686	primates
	0.31516	pinkie
	0.31403	feline
	0.31350	flexor
	0.31107	ferrets
	0.30723	patella
	0.30298	amputated
	0.30246	twitching
	0.30063	sarcoma
	0.29893	twitches
	0.29747	femur
	0.29627	dislocated
	0.29592	cheetahs
	0.29526	chimpanzee
